sprint_id,task_id,developer_id,required_skill,developer_skill_score,experience_years,story_points,task_complexity,priority,current_workload,historical_success_rate,estimated_hours,actual_hours,completed,bugs_found,rework_count,velocity_contribution
22,1,4,testing,0.41,1,3,2,Medium,0.72,0.63,6,8.3,0,1,1,1
9,2,8,devops,0.5,7,3,3,High,0.65,0.68,9,9.1,1,0,0,3
7,3,11,react,0.59,6,13,10,Medium,1.0,0.71,52,54.8,1,2,1,13
24,4,4,python,0.36,1,5,7,High,0.79,0.45,20,29.8,0,1,0,0
8,5,11,react,0.59,6,1,1,Low,0.49,0.82,3,4.2,1,0,0,1
13,6,5,java,0.51,1,2,3,Medium,0.96,0.58,8,5.8,1,1,0,2
16,7,7,devops,0.51,5,5,5,High,0.66,0.66,10,16.3,0,0,0,3
24,8,9,sql,0.28,4,3,5,Critical,0.59,0.62,9,12.5,0,2,0,2
5,9,9,spring,0.5,4,1,1,Low,0.89,0.65,2,2.3,1,0,0,1
21,10,3,testing,0.82,2,13,10,Low,0.76,0.78,39,41.1,1,0,0,13
13,11,10,spring,0.34,2,8,9,Low,0.52,0.66,32,45.9,0,1,0,6
22,12,15,sql,0.55,1,3,4,Low,0.51,0.57,9,13.7,0,1,0,1
6,13,8,java,0.34,7,13,10,Medium,0.72,0.68,52,44.9,1,1,1,13
4,14,14,devops,0.39,6,3,3,Medium,0.81,0.65,9,12.2,0,1,0,2
18,15,13,sql,0.52,2,1,2,Critical,0.91,0.61,2,1.7,1,0,0,1
4,16,15,react,0.14,1,3,3,Low,0.63,0.48,6,7.2,0,2,0,0
3,17,2,devops,0.64,2,5,4,Medium,0.38,0.72,10,11.3,0,1,0,1
18,18,3,react,0.2,2,8,10,Medium,0.69,0.45,32,43.5,0,6,3,4
23,19,5,spring,0.63,1,13,10,Critical,0.44,0.72,52,80.1,0,1,1,5
4,20,4,python,0.36,1,1,2,Low,0.7,0.53,4,5.8,0,1,0,0
19,21,4,java,0.57,1,1,1,Medium,1.0,0.61,2,2.9,0,0,0,0
11,22,2,sql,0.28,2,2,3,Critical,0.68,0.48,4,5.7,1,0,0,2
