sprint_id,dev_id,task_id,experience_level,skill_frontend,skill_backend,skill_db,task_type,task_complexity,story_points,req_frontend,req_backend,req_db,current_tasks,current_workload,availability,skill_match_score,velocity_contribution,completion_time,defects,performance_score
1,D17,T8,3,1.0,4.0,2.0,db,4,8,2,0,4,5,40,0.0,0.53,2.63,23.84,1,0.0
1,D9,T97,3,4.0,4.0,5.0,backend,9,2,1,3,0,3,12,42.38,0.58,0.99,36.0,2,0.0
1,D10,T34,1,4.0,2.0,4.0,backend,1,4,1,3,0,5,35,0.0,0.61,1.58,4.19,1,0.64
1,D6,T55,3,3.0,4.0,4.0,frontend,1,5,1,2,1,3,21,0.0,0.57,2.16,5.38,0,6.75
1,D28,T44,3,3.0,1.0,4.0,frontend,3,4,4,0,2,4,32,0.0,0.77,2.06,11.37,0,0.0
1,D25,T75,3,2.0,4.0,1.0,backend,1,5,1,1,1,3,9,61.16,0.59,2.62,3.82,0,60.02
1,D25,T4,3,2.0,4.0,1.0,db,4,3,2,0,1,2,6,66.91,0.8,2.22,22.88,1,32.31
1,D30,T41,3,1.0,2.0,2.0,db,7,1,0,1,4,4,24,0.0,0.68,0.5,23.93,4,0.0
1,D15,T90,1,4.0,3.0,3.0,frontend,10,6,3,2,0,4,32,0.0,0.74,2.97,38.59,2,0.0
1,D24,T100,1,4.0,4.0,4.0,db,3,8,2,0,1,2,14,20.76,0.38,2.53,13.18,2,0.0
1,D14,T89,1,1.0,5.0,5.0,frontend,6,2,1,0,2,4,16,45.85,0.66,1.07,9.18,4,0.9
1,D10,T49,1,4.0,2.0,4.0,frontend,4,4,5,1,2,4,24,4.81,0.77,2.25,15.87,1,7.82
1,D10,T2,1,4.0,2.0,4.0,db,8,3,0,1,3,2,14,48.54,0.71,1.77,19.11,4,9.01
1,D9,T56,3,4.0,4.0,5.0,backend,8,4,1,2,1,1,6,65.98,0.49,1.81,20.58,3,5.75
1,D26,T12,1,3.0,1.0,4.0,db,3,6,1,1,5,5,35,0.0,0.82,3.19,11.45,2,5.4
1,D27,T94,2,3.0,1.0,5.0,backend,5,8,2,3,0,5,15,25.91,0.56,3.68,26.02,8,0.0
1,D16,T94,1,3.0,5.0,2.0,backend,5,8,2,3,0,6,36,0.0,0.65,3.34,22.83,4,0.0
1,D3,T28,3,5.0,2.0,4.0,backend,1,7,0,5,0,5,25,0.0,0.27,1.37,5.94,0,0.0
1,D10,T84,1,4.0,2.0,4.0,frontend,6,4,3,0,1,5,20,6.88,0.69,2.12,24.39,3,0.0
1,D20,T44,3,3.0,1.0,2.0,frontend,3,4,4,0,2,4,24,0.0,0.83,2.43,10.41,0,29.48
1,D4,T65,1,1.0,4.0,2.0,frontend,4,6,2,2,2,5,30,0.0,0.78,3.19,20.0,3,0.0
1,D27,T18,2,3.0,1.0,5.0,db,6,7,1,1,1,5,40,0.0,0.46,1.99,22.69,1,0.0
1,D6,T73,3,3.0,4.0,4.0,frontend,3,8,2,0,1,6,24,0.0,0.59,3.45,13.19,3,0.0
1,D12,T72,2,4.0,4.0,1.0,db,3,7,2,2,4,4,32,0.0,0.48,2.24,14.18,0,0.0
1,D8,T20,2,2.0,1.0,2.0,db,2,1,2,0,4,2,14,35.63,0.71,0.59,2.58,1,48.13
1,D4,T88,1,1.0,4.0,2.0,backend,3,6,1,3,0,1,4,79.65,0.82,4.67,10.76,2,54.01
1,D2,T57,2,3.0,3.0,3.0,frontend,9,4,1,0,0,6,24,20.08,0.52,1.52,53.94,5,0.0
1,D7,T66,3,5.0,1.0,2.0,backend,10,2,1,4,0,2,6,78.57,0.38,0.7,51.83,1,0.0
1,D15,T40,1,4.0,3.0,3.0,backend,1,7,0,4,0,4,32,0.0,0.59,2.76,4.73,0,3.58
1,D4,T96,1,1.0,4.0,2.0,frontend,5,3,4,0,0,5,15,49.74,0.38,0.94,24.87,3,2.33
1,D2,T69,2,3.0,3.0,3.0,backend,3,7,0,4,1,3,12,60.19,0.67,4.01,13.9,1,35.05
1,D1,T52,3,4.0,5.0,3.0,frontend,9,7,1,1,0,6,24,23.54,0.35,1.79,48.14,3,0.0
1,D11,T53,2,4.0,5.0,2.0,backend,10,4,2,5,1,2,10,41.09,0.87,3.05,39.7,1,4.75
1,D3,T86,3,5.0,2.0,4.0,backend,8,7,2,5,2,6,30,0.0,0.43,2.05,47.06,7,0.0
1,D1,T50,3,4.0,5.0,3.0,db,10,2,0,0,2,5,20,15.91,0.51,0.78,45.13,1,0.0
1,D13,T55,1,2.0,5.0,2.0,frontend,1,5,1,2,1,5,35,0.0,0.7,2.27,1.9,0,34.96
1,D1,T89,3,4.0,5.0,3.0,frontend,6,2,1,0,2,4,20,24.33,0.36,0.55,41.15,2,0.0
1,D12,T95,2,4.0,4.0,1.0,backend,8,3,1,3,0,4,28,0.0,0.7,1.47,35.65,7,0.0
1,D14,T25,1,1.0,5.0,5.0,frontend,4,6,4,0,1,5,40,0.0,0.27,1.0,19.15,1,0.0
1,D13,T77,1,2.0,5.0,2.0,frontend,1,2,3,0,2,6,42,0.0,0.63,0.77,3.91,0,0.0
1,D18,T62,2,5.0,3.0,4.0,frontend,2,1,4,0,0,6,18,27.49,0.61,0.48,5.26,1,45.33
1,D25,T34,3,2.0,4.0,1.0,backend,1,4,1,3,0,4,32,0.0,0.8,2.14,4.42,0,16.13
1,D29,T45,2,2.0,3.0,1.0,frontend,7,5,2,0,2,5,15,17.02,0.82,3.37,35.42,3,0.0
1,D30,T19,3,1.0,2.0,2.0,frontend,9,3,2,2,1,3,12,62.83,0.85,2.18,23.58,3,13.67
1,D17,T3,3,1.0,4.0,2.0,db,1,1,0,2,4,3,18,15.66,0.63,0.5,2.3,2,18.31
1,D4,T33,1,1.0,4.0,2.0,backend,10,3,0,5,2,6,30,0.0,0.83,1.7,79.05,6,0.0
1,D20,T16,3,3.0,1.0,2.0,frontend,3,4,5,2,0,4,16,30.66,0.65,2.11,6.18,2,35.2
1,D21,T60,3,1.0,4.0,5.0,frontend,5,7,2,2,0,6,24,0.0,0.63,3.23,17.6,1,0.0
1,D12,T97,2,4.0,4.0,1.0,backend,9,2,1,3,0,2,8,68.92,0.7,1.26,35.76,4,0.0
1,D15,T67,1,4.0,3.0,3.0,backend,5,6,2,5,0,5,25,9.72,0.57,2.47,26.24,3,0.0
1,D4,T77,1,1.0,4.0,2.0,frontend,1,2,3,0,2,6,30,0.0,0.56,0.76,6.35,0,0.0
1,D8,T13,2,2.0,1.0,2.0,db,6,8,1,0,4,5,40,0.0,0.68,3.37,25.15,4,0.0
