dev_id,experience_level,skill_frontend,skill_backend,skill_db,current_tasks,current_workload,availability
D1,1,1,1,1,5,35,36.58
D2,1,1,1,2,5,30,46.43
D3,2,2,3,3,4,16,70.18
D4,1,2,2,2,5,30,53.62
D5,2,2,3,3,4,24,46.41
D6,2,2,3,2,4,24,35.56
D7,1,1,1,1,1,4,86.41
D8,3,4,4,3,2,14,72.53
D9,1,2,1,2,5,25,17.03
D10,1,2,2,2,6,24,36.75
D11,1,2,2,2,2,8,73.68
D12,2,3,2,3,6,36,42.74
D13,1,2,1,2,7,49,0.0
D14,3,4,4,3,1,7,78.27
D15,1,1,1,2,1,6,87.48
D16,1,1,1,2,3,15,54.36
D17,1,1,2,1,4,12,67.04
D18,1,2,1,1,6,42,0.0
D19,2,2,2,2,3,21,27.69
D20,3,3,4,3,7,35,10.91
D21,2,3,3,2,3,9,80.84
D22,2,3,2,2,7,49,0.0
D23,1,1,2,1,3,15,72.66
D24,3,3,4,3,5,30,6.78
D25,1,2,2,1,2,12,73.45
D26,3,3,3,3,6,18,43.55
D27,3,3,4,4,3,9,77.77
D28,2,3,3,3,7,35,24.88
D29,2,2,3,2,6,18,63.86
D30,1,1,2,1,1,7,85.51
