dev_id,sprint_id,completion_time,defects,velocity_contribution,blocked_tasks,reopened_tasks
D23,1,4.57,2,7.79,0,0
D39,1,3.22,0,11.01,0,1
D17,1,4.53,0,7.54,0,0
D3,1,4.31,2,5.03,0,0
D30,1,5.54,0,7.7,0,0
D35,1,7.04,1,3.56,1,1
D8,1,4.4,0,7.95,0,0
D25,1,4.06,0,6.87,1,0
D6,1,1.11,2,14.18,1,0
D36,1,3.59,0,10.17,0,0
D19,1,2.19,0,8.42,0,0
D40,1,7.26,2,2.32,1,0
D24,1,2.41,2,13.78,0,0
D37,1,3.27,0,10.98,0,0
D13,1,3.94,0,9.1,1,0
D5,1,2.25,4,10.71,0,0
D3,1,5.5,3,5.12,0,0
D15,1,1.85,2,11.15,0,0
D19,1,2.58,1,10.51,0,0
D6,1,1.51,1,11.34,0,0
D15,1,2.0,1,11.53,0,0
D7,1,2.87,0,10.4,0,0
D25,1,4.05,0,6.26,0,0
D18,1,5.06,0,9.46,0,0
D30,1,3.5,2,7.51,0,0
D24,1,2.55,3,10.18,0,0
D11,1,3.08,0,7.36,0,0
D24,1,2.01,2,11.27,0,0
D23,1,3.29,2,7.61,0,0
D14,1,4.09,0,12.54,0,0
D18,2,5.26,0,7.78,0,0
D5,2,2.43,0,14.43,0,0
D39,2,3.23,0,9.29,0,0
D11,2,5.19,0,9.19,0,0
D35,2,8.0,4,3.34,0,0
D16,2,2.62,4,11.52,0,0
D11,2,3.07,3,8.34,0,1
D30,2,4.61,2,7.79,0,0
D25,2,3.21,3,7.35,0,0
D18,2,6.06,2,7.05,0,0
D36,2,3.41,2,10.51,0,0
D15,2,2.93,3,13.98,0,0
D21,2,1.97,2,10.93,0,0
D4,2,1.67,0,14.18,0,0
D15,2,2.38,0,9.46,0,0
D3,2,8.98,5,4.79,0,0
D21,2,2.35,1,13.73,0,0
D26,2,6.77,1,7.4,1,0
D18,2,7.12,1,8.03,0,0
D5,2,2.31,1,13.55,0,0
D14,2,2.8,0,8.75,0,0
D37,2,2.9,0,9.53,0,0
D21,2,1.31,0,12.92,0,0
D14,2,3.52,0,10.13,0,0
D32,2,8.97,5,2.21,0,0
D26,2,5.28,0,6.38,0,0
D30,2,3.52,3,7.5,0,0
